Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Rivierez;Jonathan;MET;MON;A;541;DR;1;52;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;5;4;0;0;9;11;0;0;0;0;1;6;27;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Kawashima;Eiji;MET;MON;A;541;GK;1;50;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;19;0;0;0;7;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
Benzia;Yassine;LIL;TRO;A;4141;ML;1;50;1;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;4;41;47;0;0;0;1;4;9;62;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Jorge;;MON;MET;H;433;DL;1;48;1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;2;1;0;0;17;23;0;0;0;3;0;2;37;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Diego Carlos;;NTE;BDX;H;4231;DC;1;45;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;31;38;0;3;0;2;0;4;43;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Krhin;Rene;NTE;BDX;H;4231;DMC;1;45;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;19;21;0;0;0;4;1;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Gradel;Max;TOU;MTP;A;433;FWL;1;41;1;0;0;0;0;1;0;0;0;0;0;0;4;1;0;0;0;0;1;0;4;10;0;0;0;3;0;0;23;0;0;0;0;0;0;0;1;0;0;0;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oniangue;Prince;ANG;REN;A;4141;MC;1;39;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;3;0;7;10;0;1;0;1;1;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mbappe;Kylian;PSG;LYO;A;433;FWR;1;36;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;10;11;0;1;0;1;1;3;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Butelle;Ludovic;ANG;REN;A;4141;GK;1;33;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;13;0;0;0;3;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0
