PRENOM_NOM;PRENOM;NOM;TEAM;POS;IDRECHERCHE1;IDRECHERCHE2
Emmanuel Bourgaud;Emmanuel;Bourgaud;AMN;Midfielder;BourgaudEmmanuelAMN;
Emmanuel Imorou;Emmanuel;Imorou;CAE;Defender;ImorouEmmanuelCAE;
Emmanuel Riviere;Emmanuel;Riviere;MET;Forward;RiviereEmmanuelMET;
Enock Kwateng;Enock;Kwateng;NTE;Defender;KwatengEnockNTE;
Enzo Crivelli;Enzo;Crivelli;ANG;Forward;CrivelliEnzoANG;
Hamza Mendyl;Hamza;Mendyl;LIL;Defender;MendylHamzaLIL;
Valere Pollet;Valere;Pollet;LIL;Midfielder;PolletValereLIL;
Boubakary Soumare;Boubakary;Soumare;LIL;Midfielder;SoumareBoubakaryLIL;
Benjamin Verite;Benjamin;Verite;LIL;Defender;VeriteBenjaminLIL;
Eric Bautheac;Eric;Bautheac;LIL;Midfielder;BautheacEricLIL;
Romain Danze;Romain;Danze;REN;Defender;DanzeRomainREN;
Romain Gasmi  ;Romain;Gasmi;STR;Midfielder;GasmiRomainSTR;
Mathieu Deplagne;Mathieu;Deplagne;TRO;Defender;DeplagneMathieuTRO;
Etienne Didot;Etienne;Didot;GUI;Midfielder;DidotEtienneGUI;
Exauce NGassaki;Exauce;NGassaki;CAE;Forward;NGassakiExauceCAE;
Ezequiel Ponce;Ezequiel;Ponce;LIL;Forward;PonceEzequielLIL;
Fabien Lemoine  ;Fabien;Lemoine;ETI;Midfielder;LemoineFabienETI;
Raphael Diarra  ;Raphael;Diarra;MON;Defender;DiarraRaphaelMON;
Facundo Piriz;Facundo;Piriz;MTP;Midfielder;PirizFacundoMTP;
Abdoulaye Diallo;Abdoulaye;Diallo;REN;Goalkeeper;DialloAbdoulayeREN;
Fallou Diagne;Fallou;Diagne;MET;Defender;DiagneFallouMET;
Fares Bahlouli;Fares;Bahlouli;LIL;Midfielder;BahlouliFaresLIL;
Felix Eboa Eboa;Felix;Eboa Eboa;GUI;Defender;Eboa_EboaFelixGUI;
Ferland Mendy;Ferland;Mendy;LYO;Defender;MendyFerlandLYO;
Fernando Marcal;Fernando;Marcal;LYO;Defender;MarcalFernandoLYO;
Kermit Erasmus;Kermit;Erasmus;REN;Forward;ErasmusKermitREN;
Flavien Tait;Flavien;Tait;ANG;Midfielder;TaitFlavienANG;
Florent Balmont;Florent;Balmont;DIJ;Midfielder;BalmontFlorentDIJ;
Florent Mollet;Florent;Mollet;MET;Midfielder;MolletFlorentMET;
Florentin Pogba;Florentin;Pogba;ETI;Defender;PogbaFlorentinETI;
Florian Escales  ;Florian;Escales;MAR;Goalkeeper;EscalesFlorianMAR;
Florian Le Joncour;Florian;Le Joncour;CAE;Defender;Le_JoncourFlorianCAE;
Florian Thauvin;Florian;Thauvin;MAR;Midfielder;ThauvinFlorianMAR;
Fode Toure Ballo;Fode;Toure Ballo;LIL;Defender;Toure_BalloFodeLIL;
