ID;IDRECHERCHE1;PRENOM;NOM;TEAM;POS;PRIX;IDRECHERCHE2
;KurzawaLayvinPSG;Layvin;Kurzawa;PSG;Defender;10;
;PhiriLebogangGUI;Lebogang;Phiri;GUI;Midfielder;10;
;DuboisLeoNTE;Leo;Dubois;NTE;Defender;10;
;LacroixLeoETI;Leo;Lacroix;ETI;Defender;10;
;PerrinLoicETI;Loic;Perrin;ETI;Defender;10;
;PuyoLoicANG;Loic;Puyo;ANG;Midfielder;10;
;DionyLoisETI;Lois;Diony;ETI;Forward;10;
;CallegariLorenzoPSG;Lorenzo;Callegari;PSG;Midfielder;10;
;CanaLorikNTE;Lorik;Cana;NTE;Defender;10;
;DeauxLucasGUI;Lucas;Deaux;GUI;Midfielder;10;
;LimaLucasNTE;Lucas;Lima;NTE;Defender;10;
;MocioLucasLYO;Lucas;Mocio;LYO;Goalkeeper;10;
;MouraLucasPSG;Lucas;Moura;PSG;Forward;10;
;OcamposLucasMAR;Lucas;Ocampos;MAR;Midfielder;10;
;TousartLucasLYO;Lucas;Tousart;LYO;Midfielder;10;
;KhazriWahbiREN;Wahbi;Khazri;REN;Midfielder;10;
;BlasLudovicGUI;Ludovic;Blas;GUI;Midfielder;10;
;AraujoLuizLIL;Luiz;Araujo;LIL;Forward;10;
;Luiz_GustavoMAR;;Luiz Gustavo;MAR;Midfielder;10;
;LeragerLukasBDX;Lukas;Lerager;BDX;Midfielder;10;
;PokornyLukasMTP;Lukas;Pokorny;MTP;Defender;10;
;LlorisGautierNIC;Gautier;Lloris;NIC;Defender;10;
;TalalMahdiAMN;Mahdi;Talal;AMN;Midfielder;10;
;LusambaArnaudNIC;Arnaud;Lusamba;NIC;Midfielder;10;
;MalcomBDX;;Malcom;BDX;Forward;10;
;N'DiayeMamadouMTP;Mamadou;N'Diaye;MTP;Defender;10;
;KhaouiSaif-EddineTRO;Saif-Eddine;Khaoui;TRO;Forward;10;
;KoneMoryTRO;Mory;Kone;TRO;Defender;10;
;ThiamMamadouDIJ;Mamadou;Thiam;DIJ;Forward;10;
;Yanga-MbiwaMapouLYO;Mapou;Yanga-Mbiwa;LYO;Defender;10;
;VidalMarcTOU;Marc;Vidal;TOU;Goalkeeper;10;
;CaillardMarc-AureleGUI;Marc-Aurele;Caillard;GUI;Goalkeeper;10;
